tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,cluster
11774,0.25,0,0.28125,0.642857,0.666667,0.403846,0,n
12748,0.5,0,0.21875,0.392857,0.666667,0.846154,0.25,n
11792,0,0,0.25,0.321429,0.666667,0.634615,0,n
11159,0,0,0.40625,0.321429,0.666667,0.769231,0,n
12198,0,0,0.1875,0.464286,0.666667,0.528846,0,n
13577,0,0,0.09375,0.821429,0.333333,0.673077,0,n
11126,0,0,0.21875,0.25,0.333333,0.653846,0,y
11111,0,0,0.15625,0.357143,0.333333,0.644231,0,y
12489,0.25,0,0.25,0.678571,0.666667,0.711538,0,n
12584,0,0,0.25,0.5,0.666667,0.471154,0,n
13463,0.25,0,0.40625,0.392857,0.333333,0.75,0,n
11851,0.5,0,0.3125,0.642857,0.666667,0.634615,0,n
13251,0,0,0.25,0.714286,0.333333,0.826923,0.5,n
12810,0,0,0.1875,0.464286,0.666667,0.730769,0.25,n
11094,0.25,0.166667,0.4375,0.607143,0.666667,0.798077,0,n
13742,0,0,0.1875,0.464286,0.666667,0.538462,0,n
13417,0,0,0.15625,0.428571,0.333333,0.567308,0,y
12952,0,0,0.15625,0.642857,0.333333,0.884615,0.25,n
12140,0,0,0.15625,0.535714,0.666667,0.701923,0,n
12353,0.25,0,0.40625,0.571429,0.666667,0.673077,0,n
12056,0,0,0.15625,0.392857,0.666667,0.471154,0,n
13815,0,0,0.1875,0.785714,0.666667,0.932692,0,n
13589,0,0,0.3125,0.357143,0.333333,0.394231,0,y
12340,0.5,0,0.3125,0.392857,0.333333,0.673077,0,n
13193,0,0,0.125,0.214286,0.333333,0.432692,0.25,y
12488,0.25,0,0.28125,0.392857,0.666667,0.807692,0,n
11690,0,0,0.09375,0.142857,0.333333,0.451923,0,y
12883,0.25,0,0.09375,0.5,0.666667,0.788462,0.25,n
13297,0,0,0.125,0.392857,0.333333,0.432692,0.25,y
11712,0,0,0.375,0.428571,0.333333,0.836538,0,n
11464,0,0.333333,0.21875,0.535714,0.333333,0.951923,0.25,n
11981,0.25,0,0.21875,0.357143,0.666667,0.75,0,n
13200,0,0,0.09375,0.142857,0.333333,0.403846,0,y
13731,0,0,0.25,0.392857,0.666667,0.663462,0.25,n
11646,0,0,0.21875,0.25,0.333333,0.317308,0,y
13132,0,0,0.09375,0.285714,0.333333,0.307692,0.75,y
12569,0.25,0,0.25,0.5,0.666667,0.836538,0,n
12997,0.25,0,0.1875,0.321429,0.333333,0.836538,0,n
11914,0,0,0.09375,0.285714,0.333333,0.644231,0,y
11207,0,0,0.3125,0.321429,0.666667,0.663462,0,n
12817,0,0,0.40625,0.321429,0.666667,0.673077,0.25,n
12299,0,0,0.3125,0.535714,0.666667,0.576923,0,n
10989,0,0.166667,0.21875,0.428571,0.333333,0.221154,0,y
11944,0,0,0.375,0.392857,0.666667,0.663462,0.25,n
13871,0,0,0.1875,0.142857,0.333333,0.394231,0,y
13893,0,0,0.25,0.142857,0.333333,0.509615,0,y
12138,0.25,0,0.375,0.428571,0.666667,0.576923,0,n
12350,0.25,0,0.15625,0.571429,0.666667,0.759615,0,n
12700,0.25,0,0.25,0.535714,0.666667,0.788462,0.25,n
13219,0,0,0.15625,0.642857,0.333333,0.596154,0.25,y
11932,0,0,0.4375,0.25,0.333333,0.557692,0,y
11545,0.25,0.166667,0.4375,0.428571,0.666667,0.778846,0,n
12843,0,0,0.28125,0.714286,0.666667,0.875,0,n
11721,0,0,0.21875,0.214286,0.333333,0.384615,0,y
11367,0,0.333333,0.15625,0.428571,0.333333,0.942308,0.25,n
11691,0,0,0.15625,0.142857,0.333333,0.557692,0,y
13274,0,0,0.09375,0.214286,0.333333,0.451923,0.25,y
12745,0.25,0,0.21875,0.535714,0.666667,0.615385,0.5,n
11053,0,0,0.125,0.214286,0.333333,0.201923,0,y
11515,0,0,0.46875,0.464286,0.666667,0.711538,0.25,n
11539,0.25,0.333333,0.40625,0.571429,0.666667,0.75,0.25,n
12750,0.5,0,0.375,0.428571,0.666667,0.807692,0,n
12348,0.25,0,0.40625,0.535714,0.666667,0.798077,0,n
13803,0,0,0.125,0.214286,0.333333,0.278846,0.25,y
13617,0.25,0,0.28125,0.321429,0.333333,0.413462,0,y
13266,0,0,0.09375,0.428571,0.333333,0.346154,0.25,y
13054,0,0,0.0625,0.428571,0.333333,0.663462,0,y
11377,0,0,0.09375,0.214286,0.333333,0.596154,0,y
11802,0,0,0.25,0.285714,0.333333,0.75,0,y
13856,0,0,0.125,0.571429,0.333333,0.644231,0,y
12871,0.25,0,0.46875,0.464286,0.666667,0.721154,0.5,n
11204,0.25,0.333333,0.4375,0.142857,0,0.884615,0,y
12546,0.25,0,0.25,0.357143,0.666667,0.701923,0.25,n
11424,0,0,0.0625,0.214286,0.333333,0.490385,0,y
13717,0,0,0.25,0.678571,0.666667,0.769231,0.5,n
11823,0,0,0.375,0.535714,0.666667,0.846154,0,n
13152,0,0,0.125,0.357143,0.333333,0.432692,0.25,y
13260,0,0,0.09375,0.285714,0.333333,0.740385,0.5,y
11309,0,0,0.0625,0.214286,0.333333,0.528846,0,y
12394,0.5,0,0.34375,0.607143,0.666667,0.769231,0,n
12247,0.25,0,0.3125,0.464286,0.666667,0.875,0,n
11525,0,1,0.3125,0.464286,0.333333,0.923077,0,n
13881,0,0,0.28125,0.535714,0.333333,0.586538,0,y
12471,0.5,0,0.21875,0.285714,0.333333,0.634615,0,y
12468,0.25,0,0.40625,0.428571,0.666667,0.663462,0,n
11366,0,0.333333,0.15625,0.5,0.333333,0.923077,0.25,n
11151,0,0,0.28125,0.321429,0.333333,0.336538,0,y
12028,0.25,0,0.3125,0.428571,0.666667,0.865385,0.25,n
13605,0.25,0,0.21875,0.25,0.333333,0.394231,0,y
12486,0,0,0.125,0.25,0.333333,0.538462,0,y
13016,0,0,0.09375,0.25,0.333333,0.471154,0.25,y
13939,0,0,0.09375,0.142857,0.333333,0.5,0,y
13235,0,0,0.1875,0.285714,0.333333,0.663462,0.25,y
13215,0,0,0.46875,0.464286,0.333333,0.711538,0.25,n
11400,0,0,0.15625,0.321429,0.666667,0.865385,0.25,n
11865,0,0,0.125,0.464286,0.333333,0.461538,0,y
13229,0,0,0.1875,0.428571,0.333333,0.644231,0.25,y
11291,0,0,0.375,0.285714,0.333333,0.423077,0.25,y
13060,0,0,0.125,0.142857,0.333333,0.490385,0.5,y
