tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers
11894,0,0,10,7,1,103,0
13823,0,0,13,9,1,126,0
11656,0,0,10,9,1,114,0
13605,1,0,9,8,1,86,0
11199,1,0,11,9,1,109,0
11066,0,1,5,10,1,111,0
11874,0,0,9,12,2,134,0
12186,1,0,11,15,2,106,0
13132,0,0,5,9,1,77,3
11879,0,0,8,9,1,96,0
11143,0,0,6,5,1,69,0
11434,1,0,7,8,1,78,0
13312,0,0,9,20,1,125,1
12537,0,0,10,13,2,125,0
12470,1,0,10,11,2,79,0
13887,0,0,11,9,1,129,2
12195,1,0,14,11,2,106,0
13052,1,2,18,9,1,114,1
13607,0,0,5,9,1,92,0
11670,0,0,16,7,1,74,0
12972,1,0,9,8,1,121,2
13868,0,0,9,5,1,83,0
11635,0,0,7,10,1,79,0
12830,2,0,15,24,2,132,1
11430,1,0,9,9,1,104,1
13609,0,0,9,10,1,101,0
13733,0,0,11,15,2,128,2
12241,1,0,13,11,2,121,0
11332,0,0,18,14,2,141,0
11018,0,0,5,19,1,135,0
12299,0,0,12,16,2,105,0
12330,1,1,18,24,2,111,0
12288,0,0,15,16,2,138,0
13397,0,0,11,11,1,104,1
13589,0,0,12,11,1,86,0
11398,0,0,8,9,1,96,0
11296,0,0,16,21,2,121,1
12274,1,0,15,14,2,123,0
11674,0,0,12,16,2,116,0
11091,1,2,6,9,0,116,1
12900,1,0,8,13,2,109,0
12492,0,0,12,13,2,130,0
12019,1,0,13,22,2,130,0
12739,1,0,12,13,2,132,0
12629,2,0,9,12,1,115,0
11449,1,2,6,9,0,95,3
12507,2,0,6,12,2,132,0
12624,1,0,13,19,2,132,0
12059,1,0,12,13,2,130,0
12158,0,0,12,14,2,104,0
13246,0,0,5,6,1,78,2
13857,0,0,10,15,1,141,0
11325,0,0,14,12,2,108,0
13426,0,0,8,20,1,139,0
12827,2,0,11,16,2,126,1
11530,0,0,5,7,1,85,0
13617,1,0,11,10,1,88,0
10973,0,1,13,11,1,69,0
13713,0,0,13,12,2,118,0
13190,0,0,4,10,1,82,0
13864,0,0,7,11,1,94,0
12792,1,0,11,13,2,133,1
12135,0,0,14,16,2,135,0
12140,0,0,7,16,2,118,0
11288,0,0,8,14,2,140,0
13551,0,0,15,13,2,109,0
11317,0,0,7,7,1,115,0
12650,1,0,14,17,2,124,1
11927,0,0,10,9,1,113,0
12824,1,0,10,16,2,128,2
13524,0,0,17,14,2,129,0
11825,0,0,18,15,2,105,0
11069,1,2,13,13,0,145,1
11584,0,0,8,10,1,70,0
13197,0,0,12,17,2,142,0
12060,0,0,12,10,2,106,0
13034,1,0,8,17,1,146,1
12947,1,0,13,17,2,124,0
13313,0,0,27,16,1,135,2
12193,1,0,10,16,2,116,2
11454,0,0,7,11,1,137,0
12082,1,0,12,14,2,136,0
11922,0,0,15,12,2,114,1
13479,0,0,5,6,1,89,0
11136,0,0,8,6,1,94,0
13900,0,0,5,15,1,104,0
12261,2,0,15,13,2,124,1
13436,0,0,11,11,1,103,0
13636,0,0,10,10,1,84,0
12567,0,0,12,10,2,106,0
12385,1,0,12,15,2,125,0
12664,1,0,11,11,2,105,0
11416,0,0,11,12,2,130,0
12402,1,0,16,16,2,117,0
11596,0,0,6,12,1,122,0
11472,0,0,9,7,1,70,0
11994,0,0,11,13,2,136,0
11812,0,0,9,10,1,130,0
11409,0,0,10,10,2,121,0
11297,0,0,6,13,1,134,0
