tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
145,0,0,0,4,2,108,0,n
146,0,0,0,5,1,130,0,n
147,0,0,0,5,2,130,0,n
148,0,0,0,5,1,103,0,n
149,0,0,0,4,2,93,2,n
150,0,0,0,5,2,99,0,n
151,0,0,0,5,1,118,0,n
152,0,0,0,6,1,101,3,y
153,0,0,0,3,1,76,1,y
154,0,0,0,3,2,133,0,n
155,0,0,0,2,1,93,0,n
156,0,0,0,4,2,96,1,y
157,0,0,0,2,1,89,0,y
158,0,0,0,5,1,79,1,y
159,0,0,0,2,1,70,0,y
160,0,0,0,4,1,97,0,y
161,0,0,0,2,1,67,0,n
162,0,0,0,5,1,92,0,n
163,0,0,0,4,2,95,0,n
164,0,0,1,3,1,126,0,n
165,0,0,0,1,1,87,0,n
166,0,0,0,2,1,54,0,n
167,0,0,0,4,1,89,0,y
168,0,0,0,3,1,86,1,n
169,0,0,0,3,1,106,0,y
170,0,0,0,2,1,78,0,y
171,0,0,0,4,1,127,0,n
172,0,0,0,3,1,84,0,n
173,0,0,0,6,1,101,1,y
174,0,0,0,3,1,99,1,n
175,0,0,1,4,2,117,1,y
176,0,0,0,4,1,73,0,n
177,0,0,0,4,1,81,0,n
178,0,0,1,2,2,127,0,n
179,0,0,1,1,1,80,0,n
180,0,0,0,3,1,90,1,n
181,0,0,0,8,1,117,1,n
182,0,0,0,1,1,97,0,n
183,0,0,0,5,1,131,0,n
184,0,0,1,4,1,132,0,n
185,0,0,0,1,1,90,0,y
186,0,0,0,5,1,104,1,n
187,0,0,0,3,1,71,0,n
188,0,0,0,2,1,94,0,n
189,0,0,0,5,1,104,0,n
190,0,0,0,2,1,55,0,n
191,0,0,0,3,1,91,0,y
192,0,0,0,2,1,79,0,n
193,0,0,0,5,1,117,0,n
194,0,1,0,9,2,134,0,y
195,0,0,0,1,1,113,0,n
196,0,0,1,4,1,111,0,n
197,0,0,0,7,1,118,0,n
198,0,0,0,2,1,88,0,n
199,0,0,1,1,1,106,0,n
200,0,0,0,3,1,77,0,n
201,0,0,0,2,1,88,0,n
202,0,0,1,4,1,113,1,n
203,0,0,1,5,1,141,0,n
204,0,0,0,1,1,102,0,n
205,0,0,1,3,1,101,0,n
206,0,0,0,5,1,100,0,n
207,0,0,0,4,1,84,0,n
208,0,0,0,4,1,112,0,n
209,0,0,0,3,1,95,1,n
210,0,0,0,1,1,94,0,n
211,0,0,2,3,1,108,0,n
212,0,0,0,4,1,103,0,n
213,0,0,0,3,1,116,0,n
214,0,0,0,3,1,74,0,n
215,0,0,0,5,1,112,0,y
216,0,0,0,3,1,131,0,n
217,0,0,0,1,1,74,0,y
218,0,0,0,4,1,128,0,n
219,0,0,0,3,1,100,0,n
220,0,0,1,1,1,94,0,n
221,0,0,0,3,1,82,0,n
222,0,0,0,3,1,78,0,n
223,0,0,0,6,1,104,0,y
224,0,0,0,2,1,77,0,n
225,0,0,0,9,1,137,0,y
226,0,0,1,1,1,78,0,n
227,0,0,0,4,1,89,0,n
228,0,0,0,4,1,67,0,n
229,0,0,0,1,1,98,0,n
230,0,1,0,1,1,86,0,n
231,0,0,0,1,1,102,0,n
232,0,0,0,5,1,115,1,y
233,0,0,0,3,1,85,0,y
234,0,0,0,2,1,123,0,y
235,0,0,0,8,1,129,0,n
236,0,0,0,6,1,118,0,n
237,0,0,0,4,1,119,0,n
238,0,0,0,3,1,97,0,n
239,0,0,0,1,1,97,0,n
240,0,0,0,6,1,115,1,n
241,0,0,0,6,1,106,0,n
242,0,0,0,4,1,111,1,n
243,0,0,1,6,1,102,0,n
244,0,0,1,2,1,107,0,n
245,0,0,1,8,1,129,0,y
246,0,0,0,1,1,90,0,y
247,0,0,0,1,1,86,0,n
248,0,0,0,6,1,107,1,n
249,0,0,0,3,1,96,2,n
250,0,0,0,5,1,84,1,n
251,0,0,1,1,1,80,0,n
252,0,0,1,2,1,104,1,n
253,0,0,0,1,1,81,0,n
254,0,0,0,3,1,71,0,n
255,0,0,0,4,1,135,0,y
256,0,0,0,1,1,83,0,n
257,0,0,1,4,1,129,0,n
258,0,0,0,3,1,88,0,y
259,0,0,0,2,1,94,0,n
260,0,0,0,5,1,78,1,n
