tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,favorite_count,retweet_count,cluster
11053,0,0,0.125,0.214286,0.333333,0.201923,0,0.54949,1.609354,cluster2
11661,0,0,0.1875,0.321429,0.333333,0.375,0,0.554734,1.613781,cluster2
11696,0,0,0.09375,0.142857,0.333333,0.144231,0,0.621673,1.697681,cluster2
11825,0,0,0.5,0.5,0.666667,0.576923,0,0.592029,1.463111,cluster1
11389,0,0,0.25,0.607143,0.666667,0.923077,0.25,0.671052,1.851334,cluster1
12561,0,0,0.28125,0.607143,0.666667,0.721154,0,0.348728,1,cluster1
13933,0,0,0.1875,0.428571,0.333333,0.567308,0,0,1,cluster2
13459,0,0,0.125,0.25,0.333333,0.182692,0,0,0,cluster2
12852,0,0,0.34375,0.714286,0.666667,0.826923,0,0,1.090508,cluster1
13427,0,0,0.53125,0.178571,0.333333,0.461538,0.25,0.400062,1.090508,cluster2
11288,0,0,0.1875,0.464286,0.666667,0.913462,0,0.623929,1.745068,cluster1
13495,0,0,0.0625,0.321429,0.333333,0.480769,0.25,0,0,cluster2
12971,0.25,0,0.28125,0.428571,0.333333,0.836538,0.5,0.348728,1,cluster1
13737,0,0,0.375,0.321429,0.666667,0.817308,0,0.458952,1.316074,cluster1
12568,0.25,0,0.375,0.535714,0.666667,0.846154,0,0.43627,1.454215,cluster1
11422,0,0,0.1875,0.214286,0.333333,0.163462,0,0.567233,1.575698,cluster2
11238,0.25,0.166667,0.09375,0.392857,0.333333,0.894231,0,0.554734,1.67173,cluster2
13250,0,0,0.15625,0.25,0.333333,0.403846,0.75,0.348728,0,cluster2
11579,0,0,0.21875,0.214286,0.333333,0.269231,0,0.906406,2.922258,cluster2
12424,0,0,0.09375,0.464286,0.666667,0.721154,0,0.48054,1.37798,cluster1
11777,0.25,0.166667,0.28125,0.678571,0.666667,0.480769,0,0.741981,1.907128,cluster1
13176,0,0,0.25,0.214286,0.333333,0.509615,0,0.38029,1.349504,cluster2
11504,0,0,0.4375,0.392857,0.333333,0.75,0,0.711717,2.050073,cluster1
12179,0.25,0,0.34375,0.607143,0.666667,0.528846,0,0,0,cluster1
13598,0,0,0.125,0.285714,0.333333,0.596154,0,0.38029,1.316074,cluster2
13656,0,0,0.34375,0.714286,0.666667,0.817308,0,0.50049,1.189207,cluster1
13809,0,0,0.21875,0.535714,0.666667,0.442308,0,0.444758,1.580822,cluster1
12620,0.25,0,0.46875,0.392857,0.666667,0.740385,0,0,1.189207,cluster1
13030,0.25,0,0.1875,0.285714,0.333333,0.605769,0.5,0.42644,0,cluster2
11233,0,0,0.34375,0.321429,0.666667,0.576923,0,0.677939,1.956838,cluster1
13501,0,0,0.25,0.535714,0.666667,0.653846,0,0.348728,1.222845,cluster1
13705,0,0,0.375,0.892857,0.666667,0.903846,0,0.348728,0,cluster1
11630,0,0.333333,0.125,0.357143,0.333333,0.548077,0,0.611168,1.934336,cluster2
11221,0.25,0,0.1875,0.428571,0.333333,0.846154,0,0.57678,1.771522,cluster2
13107,0.25,0,0.1875,0.392857,0.333333,0.471154,0.25,0.38029,1,cluster2
12297,0.25,0,0.3125,0.714286,0.666667,0.711538,0,0,0,cluster1
13801,0,0,0.4375,0.785714,0.333333,0.913462,0,0,0,cluster1
11154,0.25,0,0.0625,0.321429,0.333333,0.567308,0.25,0.598232,1.782687,cluster2
12296,0,0,0.28125,0.607143,0.666667,0.913462,0.25,0.400062,1.37798,cluster1
12314,0.25,0,0.34375,0.5,0.666667,0.75,0.25,0.348728,1.147203,cluster1
11942,0,0.166667,0.40625,0.5,0.666667,0.903846,0,0.541903,1.548154,cluster1
12977,0.25,0,0.15625,0.357143,0.333333,0.384615,0.5,0.348728,1.222845,cluster2
11417,0,0,0.1875,0.357143,0.666667,0.557692,0,0.741317,2.152012,cluster1
12858,0.25,0,0.25,0.5,0.666667,0.596154,0.25,0.38029,1,cluster1
11753,0,0,0.5,0.464286,0.666667,0.894231,0,0.596214,1.590736,cluster1
11226,0.5,0,0.40625,0.392857,0.333333,0.894231,0,0.637677,1.718311,cluster1
13473,0,0,0.1875,0.464286,0.333333,0.519231,0,0.38029,1.090508,cluster2
12885,0.25,0,0.15625,0.25,0.333333,0.615385,0,0,1.147203,cluster2
12020,0.25,0,0.3125,0.571429,0.666667,0.807692,0,0.400062,1.390804,cluster1
13919,0,0,0.25,0.5,0.333333,0.923077,0,0,0,cluster1
11388,0,0,0.09375,0.214286,0.333333,0.317308,0,0.547661,1.559583,cluster2
13430,0,0,0.28125,0.535714,0.333333,0.394231,0,0.444758,1.090508,cluster2
13005,0.25,0,0.90625,0.571429,0.333333,0.961538,0.25,0.348728,0,cluster1
12347,0,0,0.375,0.392857,0.666667,0.634615,0.25,0.38029,1.29684,cluster1
11223,0,0,0.5,0.5,0.333333,0.875,0.5,0.682006,2.248781,cluster1
12310,0.25,0,0.3125,0.428571,0.666667,0.576923,0,0.38029,1,cluster1
11081,0,0.333333,0.21875,0.607143,0.333333,0.759615,0,0.768977,2.390955,cluster2
11235,0.25,0,0.46875,0.5,0.666667,0.865385,0,0.640811,1.759841,cluster1
13177,0,0,0.21875,0.535714,0.333333,0.413462,0.5,0,1,cluster2
13671,0,0,0.21875,0.357143,0.333333,0.644231,0,0.41471,0,cluster2
