id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at
11107,4,13,833762416966107136,7 lugares para pasar unas vacaciones de lujo en Méxicohttps://t.co/mUBt9n2BzS https://t.co/LQnGizqXt8,TweetDeck,false,false,,,,,,,152,120,,false,es,2017-02-20 19:37:05 +0000,2017-02-22 05:07:52 +0000,2017-02-22 05:07:52 +0000
13951,4,13,840532507330265088,Conoce la división supersecreta que se encarga de la investigación sobre #Rusia https://t.co/Ja8NqItHcu,TweetDeck,false,false,,,,,,,21,19,,false,es,2017-03-11 11:59:00 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
13956,4,13,840524960988782594,El aviso de privacidad en tu perfil de Facebook y otras historias falsas que se niegan a desaparecer… https://t.co/NmVfzmaShD,TweetDeck,false,false,,,,,,,34,46,,false,es,2017-03-11 11:29:01 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
10960,4,13,834248567896289281,El objetivo de la visita de Macri en España: recuperar las inversiones españolas https://t.co/U6kxyhvdVa,TweetDeck,false,false,,,,,,,53,31,,false,es,2017-02-22 03:48:52 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10961,4,13,834242041899057153,📺  @Edu_Bonilla: Es primera vez que este gobierno enfrenta a un candidato que lo obliga a ir a segunda vuelta | @soyfdelrincon #concluVOTOEC,TweetDeck,false,false,,,,,,,167,203,,false,es,2017-02-22 03:22:56 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10958,4,13,834256949466296320,Brillo y baile en el segundo día del Festival de Viña del Marhttps://t.co/pnhZR2hK2H @MarielaCNN,TweetDeck,false,false,,,,,,,68,27,,false,es,2017-02-22 04:22:11 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
14420,4,13,838968965938425856,Adele confirmó que está casadahttps://t.co/35sRsipA7P,TweetDeck,false,false,,,,,,,124,42,,false,es,2017-03-07 04:26:03 +0000,2017-03-11 13:43:26 +0000,2017-03-11 13:43:26 +0000
13957,4,13,840487212248530944,"¿Quiénes tienen más orgasmos, quiénes menos y por qué? https://t.co/BwX4wqyyum https://t.co/NE5vCbP2Qm",TweetDeck,false,false,,,,,,,54,21,,false,es,2017-03-11 08:59:01 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
11307,4,13,833033345411878913,Un muerto y 19 heridos por accidente de tren en Bélgica https://t.co/7dOSgJBHen https://t.co/kMVUR8WiDk,TweetDeck,false,false,,,,,,,43,24,,false,es,2017-02-18 19:20:01 +0000,2017-02-22 05:07:53 +0000,2017-02-22 05:07:53 +0000
10959,4,13,834248552494747648,RT @aristeguicnn: Jacinta Francisco y Mario Patrón hablan sobre las disculpas de la PGR con las indígenas encarceladas injustamente | @CNNE…,TweetDeck,true,false,,,,,,,0,95,,false,es,2017-02-22 03:48:49 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
