@relation 'featureVectorsEntrenamientoWithTopicRetuitFav-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-R8,11-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-I11-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.RenameAttribute-findcluster-replacespam-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster1:y,cluster2:n'

@attribute hashtags numeric
@attribute mentions numeric
@attribute uppercase numeric
@attribute nonalpha numeric
@attribute urls numeric
@attribute len numeric
@attribute numbers numeric
@attribute topic_id {0,1,2,3,4,5,6,7,8,9}
@attribute favorite_count numeric
@attribute retweet_count numeric
@attribute spam {y,n}

@data
0.333333,0,0.275862,0.64,0.5,0.90099,0.666667,7,0.005069,0.001613,y
0,0,0.310345,0.32,1,0.742574,0,4,0.041274,0.020742,n
0,0,0.241379,0.28,0.5,0.683168,0,5,0.031861,0.016824,n
0.333333,1,0.241379,0.4,0,0.772277,0.333333,1,0.412744,0.205347,n
0,0,0.241379,0.52,1,0.70297,0,2,0.029689,0.011984,n
0,0,0.275862,0.48,1,0.742574,0,1,0.002896,0.001383,n
0,0,0.103448,0.2,0.5,0.178218,0,1,0.038378,0.010602,n
0,0,0.068966,0.36,0.5,0.405941,1,7,0,0,y
0,0,0.103448,0.44,0.5,0.693069,0.666667,0,0.000724,0,y
0,0,0.551724,0.44,1,0.792079,0.333333,1,0.001448,0.002074,n
0,0,0.275862,0.32,1,0.851485,0,2,0.020275,0.010141,n
0.333333,0,0.275862,0.44,1,0.871287,0.333333,4,0.006517,0.006223,y
0,0,0.034483,0.56,0.5,0.851485,0.666667,7,0.141202,0.029269,y
0.333333,0,0.172414,0.12,0,0.415842,0,2,0.044895,0.005762,n
0,0,0.344828,0.56,1,0.831683,0,8,0,0.000461,n
0.333333,0,0.275862,0.44,1,0.485149,0,1,0,0.00023,n
0,0,0.413793,0.56,1,0.891089,0,7,0.003621,0.003457,y
0,0,0.275862,0.36,0.5,0.831683,0,4,0.005069,0.006223,n
0,0,0.241379,0.64,1,0.950495,0.333333,7,0.136133,0.031805,y
0,0,0.310345,0.56,1,0.693069,0,1,0.002172,0.000691,n
0.333333,0,0.413793,0.56,1,0.821782,0,8,0.001448,0.001383,n
0.333333,0,0.482759,0.32,0.5,0.623762,0,1,0.480811,0.498732,n
0.333333,0.5,0.551724,1,1,0.742574,0,4,0.000724,0.00023,n
0,0,0.241379,0.64,1,0.752475,0,4,0.000724,0.001613,n
0,0,0.137931,0.72,1,0.841584,0.333333,7,0.006517,0.005531,y
0.333333,0,0.068966,0.68,1,0.841584,0,7,0,0.000461,y
0.333333,0,0.482759,0.52,1,0.742574,0,1,0,0.001152,n
0,0,0.344828,0.44,1,0.693069,0.333333,7,0.002896,0.001383,y
0,0,0.37931,0.28,0.5,0.673267,0.666667,4,0.002896,0.002766,y
0,0,0.275862,0.48,1,0.910891,0.333333,7,0.053584,0.016824,y
0.333333,0,0.137931,0.56,1,0.861386,0,2,0.001448,0.001383,n
0,0,0.517241,0.2,0.5,0.643564,0,2,0.04055,0.012215,n
0,0,0.206897,0.4,1,0.60396,0,7,0.000724,0.000461,y
0.333333,0,0.413793,0.48,1,0.693069,0,4,0.004345,0.005992,n
0.333333,0.5,0.344828,0.24,0,0.910891,0,1,0.376539,0.277944,n
0.333333,0,0.275862,0.36,1,0.336634,0,7,0.000724,0,y
0.333333,0,0.206897,0.28,0.5,0.584158,0.333333,7,0.035482,0.006453,y
0.333333,0,0.344828,0.72,1,0.732673,0,1,0.001448,0.000691,n
0,0,0.310345,0.44,1,0.534653,0,3,0.022448,0.011062,n
0,0,0.034483,0.36,0.5,0.584158,0.333333,4,0.034757,0.011984,y
0,0.5,0.344828,0.44,1,0.386139,0,2,0.000724,0,n
0.333333,0,0.586207,0.52,0.5,0.841584,0,0,0.010862,0.007836,n
0,0,0.137931,0.44,0.5,0.742574,1,4,0.002896,0.001383,y
0,0.5,0.310345,0.32,0.5,0.524752,0,8,0.04924,0.006223,n
0.333333,0,0.241379,0.48,0.5,0.762376,0,7,0.000724,0.001383,y
0,0,0.344828,0.4,1,0.663366,0,2,0.001448,0.000922,n
0,0,0.103448,0.28,0.5,0.712871,0,4,0.002896,0.002766,n
0,0,0.034483,0.52,0.5,0.574257,0.333333,3,0.068067,0.030883,y
0,0,0.137931,0.24,0.5,0.386139,0,9,0.000724,0.000461,n
0,0,0.034483,0.32,0.5,0.49505,0.333333,7,0,0,y
0,0,0.37931,0.48,1,0.782178,0,7,0.009413,0.002074,y
0,0,0.206897,0.6,1,0.920792,0,4,0.031861,0.017285,n
0.333333,0,0.37931,0.52,1,0.70297,0,4,0.003621,0.002535,n
0,0,0.103448,0.24,0.5,0.643564,0.333333,4,0.004345,0.005301,y
0,0,0.37931,0.56,1,0.524752,0,7,0,0,y
0,0.5,0.172414,0.16,0.5,0.405941,0,1,0,0,n
0.666667,0,0.206897,0.48,1,0.871287,0,6,0,0.000691,n
0.333333,0,0.551724,0.76,1,0.940594,0,4,0,0.002766,n
0.333333,0.5,0.068966,0.36,0.5,0.940594,0,4,0.028965,0.008527,n
0,0,0.448276,0.64,1,0.50495,0,5,0.201303,0.053929,n
0.666667,0,0.344828,0.88,1,0.851485,0,4,0.000724,0.002074,n
0,0,0.37931,0.84,1,0.831683,0,2,0.002172,0.00484,n
0.333333,0,0.172414,0.36,0.5,0.861386,0,2,0.02824,0.005531,n
0.333333,0,0.172414,0.52,1,0.752475,0,3,0,0.002305,n
0,0,0.275862,0.56,0.5,0.415842,0.333333,0,0.002896,0.00023,y
0,0,0.310345,0.32,0.5,0.613861,0,2,0.059377,0.022586,n
0,0,0.413793,0.56,1,0.891089,0,7,0.005793,0.007836,y
0.333333,0,0.275862,0.6,1,0.782178,0,1,0,0.00023,n
0,0,0.275862,0.16,0.5,0.39604,0,1,0.004345,0.001844,n
0,0,0.137931,0.44,0.5,0.732673,0.666667,4,0.001448,0.000922,y
0,0,0.103448,0.36,0.5,0.445545,0.333333,5,0.005793,0.002074,y
0,0,0.310345,0.6,1,0.871287,0,0,0,0.00023,n
0,0,0.37931,0.56,1,0.920792,0,1,0.000724,0.00023,n
0,0,0.034483,0.2,0.5,0.267327,0,0,0.125272,0.026273,n
0,0,0.172414,0.28,0.5,0.673267,0,8,0.002896,0.001613,n
0,0,0.103448,0.2,0.5,0.455446,0.666667,5,0.000724,0.00023,y
0,0,0.275862,0.48,1,0.623762,0,2,0,0.002535,n
0,0,0.482759,0.48,0.5,0.732673,0.333333,0,0.005793,0.005762,y
0,0,0.310345,0.56,1,0.811881,0.333333,5,0.002172,0.000461,y
0,0,0.275862,0.48,1,0.544554,0,4,0,0.00023,n
0.333333,0,0.172414,0.44,1,0.39604,0,4,0.047791,0.032957,n
0,0,0.310345,0.2,0.5,0.405941,0,7,0.000724,0.000461,y
0,0,0.034483,0.24,0.5,0.584158,0,9,0.031861,0.006684,n
0.333333,0,0.275862,0.56,1,0.782178,0,1,0,0.000691,n
0.333333,0,0.413793,0.44,1,0.683168,0,1,0,0.00023,n
0,0,0.206897,0.28,0.5,0.613861,0.333333,7,0.001448,0.001383,y
0.333333,0,0.241379,0.44,1,0.762376,0,0,0,0.000461,n
0.333333,1,0.103448,0.28,0,0.574257,0,4,0.1021,0.040793,n
0,0,0.103448,0.32,0.5,0.584158,0,1,0.215786,0.058078,n
0,0,0.241379,0.4,1,0.80198,0.333333,7,0,0,y
0,0,0.448276,0.64,1,0.70297,0.666667,0,0,0.00023,y
0,0,0.172414,0.28,0.5,0.80198,0,4,0.001448,0.00023,n
0,0,0.103448,0.48,0.5,0.485149,0,7,0.000724,0.000691,y
0.333333,1,0.103448,0.28,0,0.49505,1,1,0.078204,0.032496,n
0,0,0.068966,0.56,0.5,0.871287,0,3,0.003621,0,n
0,0,0.068966,0.28,0.5,0.762376,0.666667,4,0.007965,0.006223,y
0,0,0.241379,0.4,1,0.930693,0,9,0.039826,0.012215,n
0.333333,0,0.275862,0.48,0.5,0.792079,0.666667,4,0.002896,0.002074,y
0.333333,0,0.206897,0.64,0.5,0.772277,0,7,0.001448,0.001613,y
0,0,0.413793,0.4,1,0.80198,0,5,0.128168,0.047476,n
0,0,0.241379,0.48,0.5,0.594059,0,2,0.001448,0.00023,n
0,0,0.137931,0.28,0.5,0.485149,0,4,0.002896,0.004379,n
0.333333,0,0.206897,0.28,0.5,0.534653,0.666667,1,0.000724,0.001152,n
0.333333,0,0.37931,0.6,1,0.752475,0.333333,1,0.094859,0.036644,n
0.333333,0,0.310345,0.48,1,0.693069,0,4,0.01231,0.003918,n
0,0.5,0.172414,0.48,0.5,0.70297,0.333333,5,0.032585,0.010832,y
0,0,0.137931,0.68,0.5,0.910891,0.333333,3,0.002172,0.000691,y
0,0,0.034483,0.2,0.5,0.29703,0,5,0.034033,0.007375,n
0.333333,0,0.344828,0.6,0.5,0.594059,0.666667,4,0.125272,0.081125,y
0.333333,0,0.275862,0.56,1,0.861386,0,2,0.000724,0.000922,n
0,0,0.172414,0.48,0.5,0.465347,0,7,0.002896,0.00023,y
0.333333,0,0.241379,0.32,0.5,0.683168,0,2,0.043447,0.015211,n
0,0,0.241379,0.32,1,0.712871,0,1,0.279508,0.050703,n
0,0,0.241379,0.12,0.5,0.524752,0,7,0.000724,0.00023,y
0,0,0.206897,0.44,1,0.891089,0,0,0.002896,0.004148,n
0,0,0.068966,0.12,0.5,0.178218,0,5,0.002172,0.00023,n
0.666667,0,0.206897,0.4,1,0.861386,0,1,0.002172,0.002074,n
0,1,0.344828,0.64,0.5,0.990099,0,1,0,0.002074,n
0,0,0.206897,0.52,0.5,0.762376,0,6,0.228096,0.030652,n
0,0,0.137931,0.48,0.5,0.574257,0,1,0.076032,0.022586,n
0,0,0.103448,0.12,0.5,0.50495,0.666667,8,0.001448,0.000922,y
0,0,0.551724,0.48,1,0.544554,0.333333,2,0.280956,0.185066,y
0.333333,0,0.172414,0.32,0.5,0.138614,0,7,0.004345,0.002535,y
0,0,0.103448,0.12,0.5,0.485149,0,8,0.007241,0.002305,n
0,0,0.172414,0.4,1,0.851485,0.333333,9,0,0,y
0.333333,0,0.448276,0.44,1,0.90099,0.333333,4,0,0,y
0,0,0.103448,0.36,0.5,0.435644,0,5,0.002172,0.001152,n
0,0,0.37931,0.56,1,0.920792,0,1,0,0.000691,n
0,0,0.172414,0.72,0.5,0.930693,0,0,0.002172,0,n
0,0,0.137931,0.44,1,0.861386,0.333333,2,0.022448,0.008988,y
0.333333,0,0.37931,0.6,1,0.960396,0,4,0.000724,0.001613,n
0.333333,0,0.206897,0.8,1,0.811881,0,1,0.000724,0.000922,n
0.333333,0,0.137931,0.32,0.5,0.217822,0,1,0.001448,0.001844,n
0,0,0.172414,0.16,0.5,0.485149,0,2,0.025344,0.00991,n
0,0,0.068966,0.28,0.5,0.386139,0.333333,1,0.000724,0.004148,n
0.333333,0,0.206897,0.6,1,0.861386,0.333333,2,0.000724,0.000922,y
0,0,0.37931,0.64,1,0.673267,0,0,0.002896,0.000691,n
0.333333,0,0.310345,0.44,1,0.673267,0.666667,0,0,0.00023,y
0,0,0.206897,0.44,0.5,0.564356,0,0,0.042723,0.017285,n
0.333333,0,0.137931,0.24,0.5,0.633663,0,7,0,0.000691,y
0,0,0.275862,0.36,0.5,0.574257,0,1,0.003621,0.002535,n
0,0,0.172414,0.24,0.5,0.39604,0,4,0.002896,0.002766,n
0,0,0.034483,0.12,0.5,0.544554,0,1,0.07386,0.022125,n
0.333333,0,0.206897,0.52,1,0.782178,0.666667,3,0.001448,0.003227,y
0,0,0.724138,0.36,1,0.732673,0.666667,6,0.002172,0,y
0.333333,0,0.344828,0.36,1,0.60396,0,0,0,0.00023,n
0,0,0.310345,0.32,1,0.415842,0,4,0.068067,0.010832,n
0,0,0.137931,0.24,0.5,0.554455,0,7,0.041274,0.008066,y
0,0,0.172414,0.28,0.5,0.693069,0.666667,8,0.005069,0.002535,y
0,0,0.137931,0.24,0.5,0.316832,0,5,0.020275,0.008988,n
0,0,0.034483,0.32,0.5,0.376238,0.333333,0,0,0,y
0.333333,0,0.37931,0.52,1,0.772277,0.333333,4,0,0.000691,y
0,0,0.172414,0.72,0.5,0.940594,0.333333,0,0.002172,0.00023,y
0,0,0.172414,0.24,0.5,0.435644,0.333333,7,0.002172,0.000922,y
0,0,0.034483,0.44,0.5,0.306931,0.333333,0,0.000724,0.000922,y
0,0,0.206897,0.24,0.5,0.50495,0,2,0.04924,0.011293,n
0.333333,0,0.344828,0.8,0.5,0.980198,0.666667,6,0.000724,0.000461,y
0.333333,1,0.103448,0.36,0,0.851485,0,1,0.078204,0.032957,n
0,0.5,0.241379,0.52,0.5,0.940594,0,1,1,0.672966,n
0.333333,0,0.206897,0.16,0.5,0.60396,0,8,0.001448,0.001613,n
0,0,0.344828,0.44,1,0.811881,0,1,0.001448,0,n
0,0,0.137931,0.16,0.5,0.247525,0,2,0.000724,0,n
0,0,0.689655,0.36,1,0.712871,0.333333,6,0.006517,0.000922,y
0,0,0.172414,0.2,0.5,0.19802,0,2,0.041274,0.00507,n
0.333333,0,0.344828,0.6,1,0.732673,0.333333,0,0,0.000461,y
0,0,0.37931,0.4,1,0.643564,0,6,0.005069,0.002074,n
0,0,0.172414,0.44,1,0.50495,0.333333,2,0,0,y
0,0,0.034483,0.36,0.5,0.425743,0.333333,9,0.025344,0.015441,y
0,0,0.103448,0.12,0.5,0.237624,0,5,0.043447,0.016133,n
0.333333,0,0.206897,0.56,1,0.811881,0,1,0,0.000922,n
0,0,0.275862,0.12,0.5,0.60396,0,2,0.002896,0.000922,n
0,0,0.206897,0.48,1,0.693069,0,1,0,0,n
0,0,0.137931,0.2,0.5,0.267327,0,2,0.004345,0.002074,n
0,0,0.137931,0.2,0.5,0.346535,0,2,0.031137,0.005992,n
0.333333,0,0.344828,0.8,1,0.841584,0,1,0.002896,0.000691,n
0,0,0.206897,0.4,1,0.851485,0,5,0.043447,0.030422,n
0,0,0.137931,0.28,0.5,0.405941,0,2,0.000724,0.002074,n
0,0,0.37931,0.72,0.5,0.970297,0,5,0.037654,0.006223,n
0,0,0.137931,0.68,0.5,0.613861,0.333333,7,0.000724,0,y
0,0,0.137931,0.16,0.5,0.267327,0,0,0.000724,0.001152,n
0,0,0.586207,0.8,1,0.762376,0,5,0.298335,0.049551,n
0,0.5,0.206897,0.4,0.5,0.891089,0,1,0.159305,0.083199,n
0.333333,1,0.310345,0.68,0.5,0.881188,0,1,0.01593,0.007145,n
0,0,0.172414,0.36,0.5,0.49505,0.333333,5,0.000724,0.000461,y
0,0,0.068966,0.12,0.5,0.19802,0.666667,5,0.002172,0.002074,y
0,0,0.275862,0.44,0.5,0.811881,0,1,0.206372,0.171007,n
0,0,0.551724,0.16,0.5,0.475248,0.333333,6,0.002172,0.000461,y
0,0,0.37931,0.4,1,0.50495,0,7,0.446778,0.03918,y
0,0,0,0.2,0.5,0.455446,0,2,0.10572,0.028348,n
0.333333,0,0.310345,0.6,1,0.831683,0.333333,8,0,0.002305,y
0,0,0.310345,0.24,0.5,0.554455,0,5,0.04055,0.018437,n
0,0,0.172414,0.2,0.5,0.514851,0,4,0.002896,0.002074,n
0,0,0.241379,0.32,1,0.524752,0,2,0.08979,0.015211,n
0,0,0.172414,0.32,1,0.485149,0,1,0.084721,0.017516,n
0.333333,0,0.275862,0.44,1,0.742574,0.333333,7,0,0.00023,y
0.333333,0,0.310345,0.56,1,0.831683,0.666667,1,0,0.001383,n
0.333333,0,0.206897,0.44,1,0.475248,0,4,0.075308,0.048859,n
0,0,0.068966,0.28,0.5,0.29703,0.333333,7,0.002896,0.000461,y
0.666667,0,0.310345,0.64,1,0.792079,0,1,0.000724,0.001383,n
0.333333,0,0.344828,0.56,1,0.811881,0,1,0.003621,0.002305,n
0.333333,0,0.37931,0.36,1,0.722772,0.333333,7,0.000724,0.001152,y
0,0,0.275862,0.72,1,0.811881,0.333333,4,0.000724,0.001844,y
0.333333,1,0.068966,0.36,0,0.70297,0.333333,4,0.100652,0.02466,y
0,0,0.241379,0.44,0.5,0.782178,0,4,0.001448,0.000461,n
0.333333,1,0.448276,0.12,0,0.910891,0,1,0,1,n
0.333333,0,0.172414,0.64,0.5,0.782178,0,4,0.003621,0.005301,n
0.333333,0,0.37931,0.52,1,0.722772,0,2,0.054308,0.011293,n
0,0,0.275862,0.32,1,0.60396,0,0,0,0,n
0,0,0.068966,0.52,1,0.653465,0,9,0.021723,0.002535,n
0.333333,0,0.586207,0.52,0.5,0.861386,0.666667,0,0.010862,0.010602,y
0,0,0.068966,0.12,0.5,0.415842,0,3,0.000724,0.000691,n
0,0,0.241379,0.28,0.5,0.247525,0,1,0.000724,0,n
0,0,0.310345,0.4,1,0.683168,0,2,0.030413,0.008758,n
0,0,0.068966,0.12,0.5,0.465347,0,9,0.031861,0.005301,n
0,0,0.172414,0.28,0.5,0.50495,0,2,0.053584,0.016594,n
0,0,0.068966,0.44,0.5,0.356436,0.333333,0,0.002896,0.000922,y
0,0,0.034483,0.28,0.5,0.673267,0.333333,7,0.002896,0.00023,y
0.333333,0,0.37931,0.48,1,0.821782,0,5,0.003621,0.00023,n
0,0,0.413793,0.32,1,0.683168,0,0,0.001448,0.000691,n
0,0,0.241379,0.4,1,0.643564,0,8,0,0.000922,n
0,0,0.275862,0.44,1,0.653465,0,4,0.167994,0.064761,n
0,0,0.172414,0.44,1,0.792079,0,4,0.007241,0.018207,n
0,0,0.172414,0.44,0.5,0.336634,0.333333,2,0.013034,0.002766,y
0,0,0.068966,0.32,0.5,0.386139,0,4,0.021723,0.00968,n
0.333333,0,0.413793,0.4,1,0.772277,0.333333,4,0,0.000922,y
0,0,0.517241,0.48,1,0.920792,0,2,0.05286,0.009449,n
0,0,0.206897,0.4,1,0.60396,0.333333,3,0.070963,0.066375,y
0,0,0.068966,0.24,0.5,0.762376,0,1,0.002172,0.00023,n
0.666667,0,0.241379,0.52,0.5,0.742574,0,9,0,0.001152,n
0.333333,0,0.310345,0.4,1,0.831683,0,4,0.000724,0.000922,n
0,0,0.310345,0.48,1,0.653465,0.333333,5,0.060825,0.041715,y
0,0,0.206897,0.44,1,0.752475,0.333333,6,0,0.00023,y
0,0,0.172414,0.12,0.5,0.306931,0,2,0.02462,0.005992,n
0,0,0.275862,0.4,0.5,0.356436,0,5,0.112238,0.018437,n
0,0,0.068966,0.36,0.5,0.405941,1,7,0.000724,0,y
0,0,0.344828,0.56,1,0.891089,0,7,0.002896,0.005992,y
0,0.5,0.310345,0.32,0.5,0.584158,0,2,0.022448,0.006453,n
0,0,0.137931,0.68,0.5,0.613861,0.333333,7,0.000724,0,y
0.333333,0.5,0.275862,0.68,1,0.881188,0.333333,7,0.312817,0.053469,y
0,0,0.137931,0.2,0.5,0.693069,0,9,0.034757,0.008758,n
0,0,0.172414,0.6,0.5,0.673267,0.333333,0,0.001448,0.001383,y
0,0,0.241379,0.48,1,0.861386,0,2,0.109341,0.021203,n
0.333333,0,0.37931,0.68,1,0.891089,0.666667,5,0.000724,0.000691,y
0,0,0.206897,0.56,1,0.831683,0,8,0.001448,0.00023,n
0,0,0.37931,0.56,1,0.50495,0,5,0.001448,0.000461,n
0,0,0.137931,0.12,0.5,0.50495,0.666667,6,0,0,y
0,0,0.275862,0.28,0.5,0.831683,0.666667,0,0.005793,0.00484,y
0,0,0.206897,0.2,0.5,0.415842,0.333333,6,0.003621,0.000461,y
0,0,0.137931,0.32,0.5,0.50495,0,0,0.002896,0.000691,n
0.333333,0,0.241379,0.48,0.5,0.831683,0,4,0.004345,0.003227,n
0,0,0.344828,0.4,1,0.732673,0,2,0.000724,0.001844,n
0,0,0.241379,0.56,1,0.623762,0,0,0.002896,0.001613,n
0,0,0.37931,0.84,1,0.831683,0,2,0.002896,0.002074,n
0,0,0.206897,0.12,0.5,0.485149,0,4,0.02824,0.012445,n
0,0,0.586207,0.64,0.5,0.90099,0,5,0.088342,0.070062,n
0,0,0.068966,0.68,0.5,0.80198,0,9,0.041999,0.011062,n
0.333333,0,0.206897,0.44,1,0.643564,0,1,0.000724,0,n
0,0,0.448276,0.56,1,0.930693,0,9,0.031861,0.012215,n
0,0,0.068966,0.28,0.5,0.386139,0.333333,1,0.002172,0.002074,n
0,0,0.448276,0.64,1,0.821782,0,1,0.002896,0.001613,n
0,0,0.310345,0.32,1,0.60396,0,0,0,0.00023,n
0.666667,0,0.241379,0.48,1,0.673267,0,9,0.000724,0.000461,n
0,0,0.103448,0.16,0.5,0.39604,0,3,0.055757,0.023969,n
0.333333,0,0.482759,0.32,0.5,0.891089,0.666667,7,0.005793,0.002535,y
0,0,0.241379,0.28,0.5,0.544554,0,8,0.000724,0.00023,n
0,0,0.137931,0.32,1,0.792079,0,4,0.007965,0.003227,n
0.333333,0,0.241379,0.52,1,0.772277,0,8,0,0.001613,n
0,0,0.275862,0.48,1,0.891089,0.333333,4,0.007965,0.007605,y
1,0,0.344828,0.64,1,0.782178,0.666667,1,0.001448,0.002535,n
0.333333,0,0.482759,0.52,1,0.891089,0,8,0.094135,0.021203,n
0,0,0.068966,0.24,0.5,0.188119,0,2,0.043447,0.013828,n
0,0,0.068966,0.28,0.5,0.752475,0.333333,4,0.003621,0.002305,y
0.333333,0,0.275862,0.24,0.5,0.485149,0,8,0.000724,0,n
0,0,0.034483,0.28,0.5,0.376238,0,5,0.023172,0.00507,n
0,0,0.655172,0.36,1,0.712871,0.333333,6,0.008689,0.000691,y
0,0,0.206897,0.32,0.5,0.554455,0,8,0,0.001613,n
0,0,0.241379,0.32,1,0.633663,0,2,0.001448,0,n
0,0,0.206897,0.72,0.5,0.792079,0.333333,7,0.003621,0.001844,y
0.333333,0,0.448276,0.56,1,0.663366,0.333333,7,0,0.000461,y
0,0,0.275862,0.2,0.5,0.544554,0,7,0.000724,0.000691,y
0,0,0.172414,0.84,1,0.960396,0,7,0.002172,0.003227,y
0,0,0.137931,0.28,0.5,0.336634,0.333333,1,0.000724,0.00023,n
0,0,0.344828,0.56,1,0.90099,0.333333,7,0.002896,0.003687,y
0,0,0.172414,0.48,1,0.693069,0,1,0,0,n
0,0,0.37931,0.64,1,0.673267,0,0,0.000724,0.000461,n
0.666667,0,0.517241,0.6,1,0.633663,0,7,0.000724,0.00023,y
0,0,0.172414,0.32,0.5,0.60396,0,4,0.002896,0.002766,n
0,0,0.413793,0.64,1,0.90099,0,2,0.256336,0.028808,n
0,0,0.344828,0.56,1,0.752475,0,8,0.000724,0.000691,n
0,0,0.241379,0.76,0.5,0.861386,0.666667,6,0.002896,0,y
0,0,0.413793,0.72,1,0.80198,0.666667,8,0,0.00023,y
