@relation featureVectorsDumpCaraotaDigitalCNNELaPatillaENTRENAMIENTO_OUTLIERS-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.attribute.Remove-R9

@attribute hashtags numeric
@attribute mentions numeric
@attribute uppercase numeric
@attribute nonalpha numeric
@attribute urls numeric
@attribute len numeric
@attribute numbers numeric
@attribute spam {n,y}
@attribute ExtremeValue {no,yes}

@data
0,0,0.241379,0.12,0.5,0.445545,0,n,no
0,0,0.241379,0.52,1,0.930693,0,y,no
0.333333,0,0.344828,0.6,1,0.673267,0,n,no
0,0,0.275862,0.44,1,0.663366,0,n,no
0.333333,0,0.275862,0.44,1,0.70297,0.333333,n,no
0,0,0.344828,0.48,1,0.772277,0.666667,n,no
0.333333,0,0.37931,0.36,1,0.60396,0,n,no
0,0,0.344828,0.32,1,0.633663,0.666667,y,no
0,0,0.413793,0.48,1,0.584158,0,n,no
0,0,0.172414,0.4,0.5,0.623762,0,n,no
0,0,0.206897,0.4,1,0.722772,0.666667,y,no
0,0,0.137931,0.44,1,0.693069,0.333333,n,no
0,0,0.172414,0.28,0.5,0.386139,0,y,no
0.333333,0,0.172414,0.52,1,0.80198,0.666667,n,no
0.666667,0,0.37931,0.48,1,0.673267,0,n,no
0.333333,0,0.482759,0.4,1,0.762376,0,n,no
0.333333,0,0.137931,0.6,0.5,0.851485,0,n,no
0,0,0.103448,0.24,0.5,0.336634,0,n,no
0,0,0.068966,0.28,0.5,0.772277,1,n,no
0,0,0.068966,0.28,0.5,0.326733,0,n,no
0,0,0.344828,0.44,1,0.891089,0.333333,n,no
0.333333,0,0.310345,0.56,1,0.544554,0,y,no
0,0,0.482759,0.76,1,0.841584,0,y,no
0,0,0.068966,0.12,0.5,0.574257,0,y,no
0,0,0.172414,0.36,0.5,0.70297,0,n,no
0,0,0.172414,0.44,0.5,0.663366,0.333333,n,no
0,0,0.172414,0.52,0.5,0.811881,0,y,no
0,0,0.241379,0.64,1,0.821782,0.333333,n,no
0.333333,0,0.413793,0.76,1,0.940594,0,n,no
0,0,0.137931,0.4,0.5,0.841584,0,n,no
0.333333,0,0.241379,0.56,1,0.811881,0.333333,n,no
0,0,0.172414,0.12,0.5,0.435644,0,n,no
0,0,0.172414,0.44,0.5,0.60396,0,n,no
0,0,0.275862,0.64,0.5,0.821782,0.666667,n,no
0,0,0.655172,0.6,0.5,1,0.333333,n,no
0,0,0.241379,0.48,0.5,0.90099,0,n,no
0,0,0.241379,0.76,0.5,0.861386,0.666667,y,no
0,0,0.172414,0.64,1,0.50495,0.333333,n,no
0.333333,0,0.172414,0.56,1,0.485149,0,n,no
0,0,0.275862,0.2,0.5,0.435644,0,n,no
0,0,0.275862,0.68,0.5,0.584158,0,y,no
0.333333,0,0.482759,0.36,1,0.574257,0.333333,y,no
0.333333,0,0.310345,0.36,1,0.60396,0,n,no
0,0,0.241379,0.36,0.5,0.574257,0,n,no
0.666667,0,0.206897,0.48,1,0.871287,0,n,no
0,0,0.310345,0.56,1,0.910891,0,n,no
0.333333,0,0.448276,0.44,1,0.891089,0.333333,n,no
0,0,0.172414,0.4,1,0.574257,0.333333,y,no
0,0,0.241379,0.56,1,0.861386,0.333333,y,no
0,0,0.172414,0.48,1,0.544554,0,n,no
0,0,0.068966,0.12,0.5,0.108911,0,n,no
0,0,0.206897,0.72,1,0.732673,0,n,no
0.333333,0,0.344828,0.44,1,0.891089,0,n,no
0,0,0.241379,0.48,1,0.70297,0.333333,n,no
0,0,0.172414,0.32,0.5,0.267327,0,n,no
0,0,0.275862,0.6,0.5,0.613861,0,n,no
0,0,0.034483,0.2,0.5,0.50495,0,n,no
0,0,0.413793,0.32,1,0.475248,0.666667,n,no
0,0,0.068966,0.28,0.5,0.366337,0,y,no
0.333333,0,0.172414,0.28,0.5,0.623762,0.666667,y,no
0,0,0.206897,0.36,1,0.742574,0,n,no
0.333333,0,0.344828,0.8,1,0.841584,0,y,no
0,0,0.206897,0.32,1,0.643564,0,n,no
0,0,0.275862,0.32,1,0.792079,0,n,no
0,0,0.137931,0.36,0.5,0.435644,0,n,no
0,0,0.344828,0.32,1,0.693069,0,y,no
0,0,0.172414,0.44,0.5,0.881188,0,n,no
0.333333,0,0.275862,0.64,0.5,0.811881,0.666667,n,no
0,0,0.172414,0.32,1,0.80198,0,n,no
0,0,0.448276,0.2,0.5,0.287129,0,n,no
0,0,0.344828,0.52,1,0.49505,0.333333,n,no
0,0,0.172414,0.36,0.5,0.277228,0,n,no
0,0,0.137931,0.96,0.5,0.831683,0,n,no
0,0,0.137931,0.96,0.5,0.841584,0.333333,y,no
0,0,0.034483,0.2,0.5,0.50495,0,n,no
0,0,0.206897,0.44,1,0.90099,0,n,no
0,0,0.137931,0.52,0.5,0.613861,0.333333,n,no
0,0,0.413793,0.28,0.5,0.871287,0,n,no
0,0,0.103448,0.12,0.5,0.50495,0.666667,n,no
0,0,0.241379,0.44,1,0.792079,0,n,no
0,0,0.137931,0.12,0.5,0.683168,0,n,no
0,0,0.137931,0.48,0.5,0.356436,0,n,no
0,0,0.586207,0.64,0.5,0.990099,0,n,no
0,0,0.206897,0.28,0.5,0.60396,0,n,no
0.666667,0,0.172414,0.4,1,0.861386,0,n,no
0,0,0.034483,0.2,0.5,0.663366,0,n,no
0,0,0.37931,0.48,1,0.70297,0,n,no
0,0,0.068966,0.56,0.5,0.792079,0.333333,n,no
0,0,0.103448,0.16,0.5,0.336634,0,n,no
0,0,0.275862,0.56,0.5,0.613861,0.333333,y,no
0,0,0.241379,0.2,0.5,0.356436,0,n,no
0,0,0.37931,0.56,1,0.534653,0.666667,n,no
0,0,0.137931,0.32,1,0.524752,0,y,no
0,0,0.310345,0.76,1,0.70297,1,n,no
0,0,0.137931,0.28,0.5,0.346535,0,n,no
0.333333,0,0.172414,0.32,0.5,0.356436,0,n,no
0,0,0.103448,0.2,0.5,0.455446,0.333333,y,no
0,0,0.137931,0.36,0.5,0.663366,0,n,no
0,0,0.413793,0.64,1,0.831683,0,n,no
0,0,0.034483,0.28,0.5,0.326733,0.333333,y,no
0.333333,0,0.172414,0.32,0.5,0.425743,0.666667,y,no
0,0,0.275862,0.48,1,0.60396,0,y,no
0,0,0.103448,0.12,0.5,0.574257,0,n,no
0,0,0.344828,0.4,1,0.475248,0,n,no
0.333333,0,0.448276,0.44,1,0.594059,0,n,no
0,0,0.310345,0.48,1,0.851485,0,n,no
0,0,0.137931,0.2,0.5,0.534653,0,n,no
0.666667,0,0.206897,0.48,1,0.653465,0,n,no
0,0,0.241379,0.28,0.5,0.534653,0.666667,n,no
0.333333,0,0.37931,0.8,0.5,0.980198,0.666667,y,no
0,0,0.310345,0.68,1,0.524752,0,n,no
0.333333,0,0.172414,0.6,1,0.960396,0,n,no
0.666667,0,0.344828,0.48,1,0.673267,0,n,no
0,0,0.344828,0.32,1,0.574257,0,n,no
0,0,0.103448,0.12,0.5,0.49505,0.333333,n,no
0,0,0.206897,0.4,1,0.564356,0,n,no
0,0,0.172414,0.28,0.5,0.732673,0,n,no
0.333333,0,0.344828,0.6,1,0.782178,0,n,no
0.333333,0,0.275862,0.48,1,0.90099,0,n,no
0.666667,0,0.37931,0.84,0.5,0.752475,0,n,no
0,0,0.103448,0.32,0.5,0.465347,1,y,no
0,0,0.344828,0.44,1,0.613861,0,n,no
0,0,0.172414,0.48,0.5,0.445545,0,n,no
0.333333,0,0.241379,0.56,1,0.60396,0,n,no
0,0,0.275862,0.52,0.5,0.415842,0,n,no
0,0,0.275862,0.76,1,0.920792,0.666667,n,no
0,0,0.103448,0.28,0.5,0.287129,0,n,no
0.333333,0,0.37931,0.36,1,0.60396,0,n,no
0,0,0.206897,0.36,0.5,0.663366,0,n,no
0,0,0.206897,0.16,0.5,0.316832,0,n,no
0,0,0.310345,0.6,1,0.960396,0,n,no
0,0,0.206897,0.36,0.5,0.415842,0.333333,n,no
0,0,0.241379,0.12,0.5,0.584158,0.333333,n,no
0,0,0.172414,0.36,0.5,0.475248,0.333333,n,no
0,0,0.310345,0.6,1,0.673267,0,n,no
0,0,0.310345,0.44,1,0.841584,0,y,no
0,0,0.103448,0.32,0.5,0.455446,0.666667,y,no
0,0,0.172414,0.44,0.5,0.792079,0,n,no
0,0,0.068966,0.24,0.5,0.772277,0.333333,n,no
0,0,0.137931,0.2,0.5,0.366337,0,y,no
0,0,0.103448,0.2,0.5,0.643564,1,n,no
0,0,0.482759,0.56,1,0.524752,0,y,no
0,0,0.172414,0.28,0.5,0.693069,0.666667,n,no
0.333333,0,0.37931,0.6,1,0.683168,0.333333,n,no
0,0,0.310345,0.56,1,0.712871,0,n,no
0,0,0.103448,0.4,0.5,0.435644,0,n,no
0,0,0.344828,0.6,1,0.871287,0,y,no
0,0,0.241379,0.48,1,0.851485,0.333333,n,no
0.333333,0,0.172414,0.44,1,0.663366,0.666667,n,no
0.333333,0,0.344828,0.44,1,0.910891,0,n,no
0,0,0.551724,0.4,1,0.940594,0,n,no
0,0,0.137931,0.4,0.5,0.356436,0,y,no
0.333333,0,0.241379,0.48,1,0.772277,0,n,no
0,0,0.241379,0.48,0.5,0.80198,0,n,no
0,0,0.137931,0.44,0.5,0.544554,0,y,no
0,0,0.275862,0.6,1,0.663366,0,n,no
0,0,0.275862,0.28,0.5,0.663366,0,n,no
0.666667,0,0.206897,0.4,0.5,0.693069,0,n,no
0,0,0.103448,0.2,0.5,0.623762,0.333333,n,no
0.333333,0,0.275862,0.56,1,0.811881,0,n,no
0,0,0.344828,0.48,0.5,0.415842,0,y,no
0.333333,0,0.275862,0.56,1,0.811881,0.333333,n,no
0,0,0.103448,0.32,0.5,0.326733,0,n,no
0.333333,0,0.310345,0.36,0.5,0.910891,0.666667,n,no
0,0,0.103448,0.36,0.5,0.673267,0.333333,n,no
0.333333,0,0.241379,0.52,1,0.60396,0,n,no
0,0,0.172414,0.2,0.5,0.524752,0.333333,n,no
0.333333,0,0.275862,0.36,1,0.722772,0.333333,n,no
0,0,0.206897,0.4,1,0.881188,0,n,no
0,0,0.172414,0.4,1,0.633663,0,n,no
0.333333,0,0.413793,0.48,1,0.90099,0,n,no
0.333333,0,0.344828,0.44,1,0.920792,0.333333,n,no
0,0,0.172414,0.48,1,0.742574,0,n,no
0,0,0.172414,0.32,1,0.623762,0,n,no
0.333333,0,0.241379,0.16,0.5,0.811881,0.333333,n,no
0,0,0.068966,0.28,0.5,0.287129,0,y,no
0,0,0.137931,0.2,0.5,0,0.333333,n,no
